A68214,0,2,11,IMAGE,0,"P A G Ei The fyrste Sermon made the.xix. day of March, in the yere of our lord a.","PAGEi PAGEi PAGEi PAGEi The First Sermon made the xix day of March, in the year of our lord a."
A68214,1,2,11,IMAGE,0,"M. CCCCC.L. before the kinges maiestie & his most honourable Counsel, by Ihon Hoper Preacher, vpon the holy Prophet Ionas. Preface vnto the Prophet.","M. 400. before the Kings majesty & his most honourable Counsel, by John Hoper Preacher, upon the holy Prophet Jonah. Preface unto the Prophet."
A68214,2,2,11,IMAGE,1,"IT is the offyce and dewty of euerye good chyld, that studiousli laboreth to obey and folow hys fathers commaundemente, before all thynges, to know perfectly the nature and condicio of hys fathers wyl.","IT is the office and duty of every good child, that studiousli Laboureth to obey and follow his Father's Commandment, before all things, to know perfectly the nature and condicio of his Father's will."
A68214,3,2,11,IMAGE,1,Wherof if he be ignoraunte:,Whereof if he be ignorant:
A68214,4,2,12,IMAGE,1,"manye tymes in the same thynges he iudgeth best of, he moste offendeth, and the thynges moste pleasaunte and acceptable, as thynges moste dyspleasaut and vnacceptable vnto hys father:","many times in the same things he Judgeth best of, he most offends, and the things most pleasant and acceptable, as things most dyspleasaut and unacceptable unto his father:"
A68214,5,2,12,IMAGE,1,"he flyeth, and refuseth.","he flies, and Refuseth."
A68214,6,2,12,IMAGE,1,"Euen so wee that be subiectes and the chyldren of God the father almyghty, can do nothyng gratefully and acceptable vnto his Maiesty, excepte we first knowe hys good wyl and pleasure towards vs:","Eve so we that be Subjects and the children of God the father almighty, can do nothing gratefully and acceptable unto his Majesty, except we First know his good will and pleasure towards us:"
A68214,7,2,12,IMAGE,1,"or else we shal ther most offede hym, wher as we mynde moste to please him.","or Else we shall there most offend him, where as we mind most to please him."
A68214,8,2,12,IMAGE,1,"And agayn happyly to improue as pernicious and heretycal, that his wisdom approueth to be most Godlye and profytable.","And again happily to improve as pernicious and heretical, that his Wisdom approveth to be most Godly and profitable."
A68214,9,2,12,IMAGE,1,"Wherefore as the fyrste poynte of a louynge Childe, is to know, what pleasyth, and what dyspleasyth, what contentyth and what discontentyth P A G Eii hys father, least he should by ignorauce displease, where as hys sonnelyke affeccion by naturall zeale woulde please:","Wherefore as the First point of a loving Child, is to know, what pleasyth, and what dyspleasyth, what contentyth and what discontentyth PAGEii PAGEii PAGEii PAGEii his father, lest he should by ignorance displease, where as his sonnelyke affection by natural zeal would please:"
A68214,10,2,12,IMAGE,1,"so is it the second poynt of a good Chylde (hys fathers wyll once trulye knowen) dyligently to obserue and kepe the same, least he should by neglygence or contempt be seene wilfullye to contemne the thynge he hathe wyth dylygence and studye obedyentlye submyttyd hym selfe vnto.","so is it the second point of a good Child (his Father's will once truly known) diligently to observe and keep the same, lest he should by negligence or contempt be seen wilfully to contemn the thing he hath with diligence and study obedyentlye submitted him self unto."
A68214,11,2,12,IMAGE,1,And incase (as suche cases be moste common and daylye) that infyrmities or other occasyon ledde the sonne from the obedyence of hys father:,And incase (as such cases be most Common and daily) that infirmities or other occasion led the son from the Obedience of his father:
A68214,12,2,12,IMAGE,1,"The thyrde poynte of hys dewtie is, speedely to acknowledge his offece, and desyre pardon & merci for his trasgressio,","The Third point of his duty is, speedily to acknowledge his offence, and desire pardon & merci for his trasgressio,"
A68214,13,2,13,IMAGE,1,As the prodigal and disobedient sonne dyd.,As the prodigal and disobedient son did.
A68214,14,2,13,IMAGE,1,Luke. xv. And Dauid. ii.,Luke. xv. And David. ii.
A68214,15,2,13,IMAGE,1,"Samuel. and so after the remyssyon and pardon obtayned, to be more circumspect and wyse how he fall and transgresse agayne. Psal. li.","Samuel. and so After the remission and pardon obtained, to be more circumspect and wise how he fallen and transgress again. Psalm li."
A68214,16,2,13,IMAGE,2,"These proposicions and sentences be so true, that no resonable man doubteth of them.","These propositions and sentences be so true, that no reasonable man doubteth of them."
A68214,17,2,13,IMAGE,2,"But as the deuyll hath lefte in the world no truth nor veritie, whych by argument and question he hathe not called into dout:","But as the Devil hath left in the world no truth nor verity, which by argument and question he hath not called into doubt:"
A68214,18,2,13,IMAGE,2,so trobleth he in this case the myndes of men wyth twoo questios.,so troubleth he in this case the minds of men with twoo questios.
A68214,19,2,13,IMAGE,2,The first is how and from whence the wyll of God maye be knowen.,The First is how and from whence the will of God may be known.
A68214,20,2,13,IMAGE,2,The seconde what ye wil of god is:,The seconde what the will of god is:
A68214,21,2,13,IMAGE,2,"So hath he preuayled amonge men for synne, that the truthe of these P A G Eiii questions is vnknowen to the greatest part of the world, as it was in Moses tyme,","So hath he prevailed among men for sin, that the truth of these Page iii Page iii Page iii Page iii questions is unknown to the greatest part of the world, as it was in Moses time,"
A68214,22,2,13,IMAGE,2,"Christes tyme, & now in oure tyme more ignoraunte and far from God, the thei.","Christ's time, & now in our time more ignorant and Far from God, the they."
A68214,23,2,13,IMAGE,2,"He perswaded in those daies that the wil of God was knowen, not from heauen nor out of the scripture Canonical, as the Patriarches,","He persuaded in those days that the will of God was known, not from heaven nor out of the scripture Canonical, as the Patriarchs,"
A68214,24,2,13,IMAGE,2,"Prophets and the Apostles tawghte, but that it was knowe by the writings, decrees, and statutes of me that were in the earth, and that the wyl of God was to do that man commaunded, and not that God commaunded."," prophets and the Apostles tawghte, but that it was know by the writings, decrees, and statutes of me that were in the earth, and that the will of God was to do that man commanded, and not that God commanded."
A68214,26,2,14,IMAGE,3,"But as almighty God left not hys Church the, wythout some that shoulde kepe the truthe of bothe these questions amonge the people, to preserue the from the daunger that muste needes folowe, where as truthe is not knowe.","But as almighty God left not his Church the, without Some that should keep the truth of both these questions among the people, to preserve thee from the danger that must needs follow, where as truth is not know."
A68214,27,2,14,IMAGE,3,So hath he done now at thys presente tyme.,So hath he done now At this present time.
A68214,28,2,14,IMAGE,3,"And by the same authoritie (as the deuyll authore and father of all questions and lyes) was confounded the, so is he now.","And by the same Authority (as the Devil Author and father of all questions and lies) was confounded thee, so is he now."
