A72490,0,3,8,IMAGE,0,A Sermon.,A Sermon.
A72490,2,3,8,IMAGE,1,"T Here was a certayne riche man, which was clothed in purple and fyne white, and fared delyciously euery daye &c.","THere THere was a certain rich man, which was clothed in purple and fine white, and fared delyciously every day etc."
A72490,3,3,8,IMAGE,1,"Our Lorde Iesus Christe (honourable audyence) in the beginnyng of this.xvj. chapter of the holy Euangeliste saynte Luke, propouned & setfurthe a parable of a certeyn wicked and craftie Stewarde, whom he lawded, because he ordered the matter so wt his maisters fermers and tenauntes, that he should neuer wante whiles they had.","Our Lord jesus Christ (honourable audience) in the beginning of this xvj chapter of the holy Evangelist faint Lycia, proponed & setfurthe a parable of a certain wicked and crafty Steward, whom he lawed, Because he ordered the matter so with his masters fermers and tenants, that he should never want while they had."
A72490,4,3,8,IMAGE,1,"This mans wisedome, was lauded of our sauiour Christ, not because it was wicked, but because he made prouisyon, that is to say fryndes, here in this present world, for the tyme that was to come.","This men Wisdom, was lauded of our Saviour christ, not Because it was wicked, but Because he made prouisyon, that is to say Friends, Here in this present world, for the time that was to come."
A72490,5,3,8,IMAGE,1,"And so in this parable of this wicked Stuard he techeth vs all to make vs frendes whiles that we be here in this present worlde, that we lacke not in the world that is to come.","And so in this parable of this wicked Steward he teacheth us all to make us Friends while that we be Here in this present world, that we lack not in the world that is to come."
A72490,6,3,8,IMAGE,1,"These be our saluiour Christes woordes, and the hole pitthe openyng of this afore named parable.","These be our Saviour Christ's words, and the hold pitthe opening of this afore nam parable."
A72490,7,3,8,IMAGE,1,"And I saie (saith he) make you frendes of the vnrighteous and wicked Mammon, that when ye shall haue nede, they maie receiue you into euerlastyng habitacions.","And I say (Says he) make you Friends of the unrighteous and wicked Mammon, that when you shall have need, they may receive you into everlasting habitations."
A72490,8,3,8,IMAGE,1,"There shall a greate chaunge come at that daie, where the pacient and the thankefull poore beggers, shalbe very ryche.","There shall a great change come At that day, where the patient and the thankful poor beggars, shall very rich."
A72490,9,3,8,IMAGE,1,And the vnmercifull and vnthankefull riche shalbe very beggers and poore.,And the unmerciful and unthankful rich shall very beggars and poor.
A72490,10,3,8,IMAGE,1,This is the riches that the pacient & thankefull poore beggers shall receiue:,This is the riches that the patient & thankful poor beggars shall receive:
A72490,11,3,8,IMAGE,1,"euerlastyng, (that is to saie) felicytie and glory with god in heauen.","everlasting, (that is to say) felicytie and glory with god in heaven."
