B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A92746,R229814,S2075,"A sermon preached at the funeral of the Lady Newland. At Alhallows Barkin, London By John Scott, D.D.","Scott, John, 1639-1695.",s n,London,"Hebrews XIII, 4; Newland,; Sermons; Bible.; Lady, d. 1690; 17th century.; Funeral sermons; Sermons, English; Early works to 1800.; N.T.",1690
A90268,R206508,O757,"God's presence with a people, the spring of their prosperity; with their speciall interest in abiding with Him. A sermon, preached to the Parliament of the Commonwealth of England, Scotland, and Ireland, at Westminster, Octob. 30. 1656. A day of solemn humiliation. / By John Owen, D.D. a servant of Jesus Christ, in the work of the Gospel. Printed by Order of Parliament.","Owen, John, 1616-1683.",Printed by R N for Philemon Stephens at the gilded Lion in Pauls Church yard,London,"Chronicles, 2nd XV, 2; O.T.; Sermons.; Bible.; 17th century.; Sermons, English",1656
A90544,R208056,P1717,A sermon by Hugh Peters: preached before his death: as it was taken by a faithful hand. And now published for publick information. Entred according to order.,"Peters, Hugh, 1598-1660.",printed by John Best in Guiltspur street without Newgate,London,"17th century.; Sermons, English",1660
A95605,R207617,T582,"Some prison meditations in the 7th moneth, 1657. Being a free-gift sermon mainly touching the religious robbers, or spiritual murtherers, the sermon and prayer-sellers of the the former, later and present times; even to the whole company of mystery-Babylons merchants and members a warning.","Taylor, Thomas, 1618-1682.",printed for Giles Calvert at the Black spread eagle neer the west end of Pauls,London,"Society of Friends; Apologetic works; Prisoners' writings, English; 17th century.; Early works to 1800.; Sermons, English",1657
A96278,R208159,W1544,"Englands Iliads in a nut-shell. Or, A briefe chronologie of the battails, sieges, conflicts, and other most remarkable passages from the beginning of this rebellion, to the 25. of March, 1645.","Wharton, George, Sir, 1596-1672.",s n,Oxford,"Civil War, 1642-1649.; Great Britain; History",1645
A93044,R217599,S3005,"Truth prevailing against the fiercest opposition being a vindication of Dr. Russel's True narrative of the Portsmouth disputation ... Also, a sermon upon Mat. 28. 19. by Mr. John Williams ... As also An answer to the Presbyterian dialogue, by another hand / published by Mr. John Sharp ... who was moderator at the disputation in Portsmouth.","Williams, John, minister.; Sharp, John, of Froome, Somersetshire.",Printed and sold by M Fabian,London,"True narrative of the Portsmouth disputation.; Infant baptism.; Russel, William, d. 1702.",1700
A94735,R20645,T1808,"Fermentvm Pharisæorvm, or, The leaven of pharisaicall wil-worship: declared in a sermon on Matth. 15.9 Novemb. 24. 1641. at Lemster in Herefordshire. / By Iohn Tombes,  B.D.","Tombes, John, 1603?-1676.; England and Wales. Parliament. House of Commons.",Printed by Richard Cotes for Andrew Crooke and are to be sold at his shop at the signe of the Greene Dragon in Pauls Church yard,London,"Matthew XV, 9; Sermons; Bible.; Early works to 1800.; N.T.",1643
A96098,R207285,W1120,"The crown of righteousness. Set forth in a sermon preached at Stephens Walbrook, May 1. 1656. At the funeral of Thomas Hodges Esquire. / By Thomas Watson, minister of Stephens Walbrook, in the citie of London.","Watson, Thomas, d. 1686.",Printed for Joseph Crawford at the signe of the Kings Head in Pauls Church yard,London,"Sermons.; Bible.; 17th century.; Timothy, 2nd IV, 8; Funeral sermons; Sermons, English; Hodges, Thomas, d. 1656; Early works to 1800.; N.T.",1656
A97126,R200163,W774,"The good-vvill of Him that dwelt in the bush: or, The extraordinary happinesse of living under an extraordinary providence. A sermon preached before the Right Honourable, the House of Lords, in the Abbey Church at Westminster, on Tuesday, Iuly 22. 1645. At their publike thanksgiving for the good successe given to the Parliaments forces, under the command of Sir Thomas Fairfax in the west. /","Ward, John, d. 1665.",Printed by G M for Christopher Meredith at the signe of the Crane in Pauls Church yard,London,"Great Britain; Deuteronomy XXXIII, 16; O.T.; History; Sermons.; Sermons; Bible.; 17th century.; Early works to 1800.; Civil War, 1642-1649; Sermons, English",1645
A92076,R232140,R2227,"A sermon preached before His Grace the Kings Commissioner, at the three estates of Parliament, May the 25th, 1690 By Gilbert Rule minister of the Gospel at Edinburgh.","Rule, Gilbert, 1629?-1701.",printed at the Society of Stationers printing house in Harts Close over against the Trone Church for George Mosman bookseller at his shop on the south side of the Parliament Close,Edinburgh,"England and Wales.; 17th century.; Parliament; Early works to 1800.; Sermons, English",1690
A91743,R203409,R1261,"Joy in the Lord opened in a sermon preached at Pauls, May 6. / By Edward Reynolds, D.D.","Reynolds, Edward, 1599-1676.",Printed by Tho Newcomb for Robert Bostock and are to be sold at his shop at the sign of the Kings Head in St Pauls Church yard,London,"Religious aspects; Joy; Sermons; 17th century.; Christianity; Sermons, English; Early works to 1800.",1655
A94062,R207741,S5992,"Justice justified; or The judges commission opened: in two assize sermons, preached before the judges of assize. The first at Chard, on Prov. 14.34. March 12. the other at Tauton, on Rom. 13.4. Aug.3. 1657. By James Strong, Master of Arts, and minister of the Gospel at Illmister in Sommerset.","Strong, James, 1618 or 19-1694.",printed for John Stafford and are to be sold at his house neer the George at Fleet bridge,London,"Great Britain; History; 17th century.; Judges; Sermons, English; Early works to 1800.; Law (Theology)",1658
A94058,R203693,S5986,"A sermon preached at a visitation held at Lin in Norfolk, June the 24th anno 1633. Being an admonition to the clergy to remember and keep those severall oaths, promises, and subscriptions, which they solemnly have made at the taking of their degrees, their ordinations, and institutions to their benefices. By William Strode D.D.","Strode, William, 1600 or 1601-1645.",printed by W Wilson for Samuel Brown living in Well yard in Little St Bartholomews near the Lame Hospitall,London,"17th century.; Early works to 1800.; Sermons, English; Visitation sermons",1660
A91736,R207682,R1242,"The comfort and crown of great actions. In a sermon preached, Decemb. 4. 1657. Before the honorable East-India company. By Edward Reynolds, D.D.","Reynolds, Edward, 1599-1676.",printed by Tho Newcomb for George Thomason at the Rose and Crown in St Pauls Church yard,London,"Christian life; Biblical teaching; 17th century.; Sermons, English; Early works to 1800.",1658
A96362,R204020,W1807,"A true relation of the conversion and baptism of Isuf the Turkish chaous, named Richard Christophilus In the presence of a full congregation, Jan. 30. 1658. in Covent-Garden, where Mr. Manton is minister. Imprimatur, Edm. Calamy.","Dury, John, 1596-1680.; White, Thomas, 1628-1698.",Printed by S Griffin and are to be sold by John Rothwell at the Fountain in Cheapside and Thomas Vnderhill at the Bible in Pauls Church yard,London,"Christophilus, Richard; Christian converts from Islam; Converts; Early works to 1800.; Manton, Thomas, 1620-1677",1659
A90296,R200768,O825,"A vision of vnchangeable free mercy, in sending the means of grace to undeserved sinners: wherein Gods uncontrollable eternall purpose, in sending, and continuing the gospel unto this nation, in the middest of oppositions and contingencies, is discovered: his distinguishing mercy, in this great work, exalted, asserted, against opposers, repiners: in a sermon preached before the Honourable House of Commons, April. 29. being the day of publike humiliation. Whereunto is annexed, a short defensative about church-government, (with a countrey essay for the practice of church-government there) toleration and petitions about these things. / By Iohn Owen, minister of the gospel at Coggeshall in Essex.","Owen, John, 1616-1683.",Printed by G M for Philemon Stephens at the signe of the Gilded Lion in Pauls Church yard,London,"Acts XVI, 9; Government; Church of England; Fast-day sermons; Church polity; Sermons.; Bible.; 17th century.; Early works to 1800.; Sermons, English; Grace (Theology); N.T.",1646
A90288,R203104,O805,"A sermon preached to the Honourable House of Commons, in Parliament assembled: on January 31. A day of solemne humiliation. With a discourse about toleration, and the duty of the civill magistrate about religion, thereunto annexed. Humbly presented to them, and all peace-loving men of this nation. / By John Owen, pastor of the Church of Christ, which is at Coggeshall in Essex.","Owen, John, 1616-1683.",Printed by Matthew Simmons for Henry Cripps in Popes head Alley,London,"Religious tolerance; England; Fast-day sermons; Sermons; 17th century.; Early works to 1800.; Sermons, English",1649
A97125,R200028,W773,"God iudging among the gods. Opened in a sermon before the Honourable House of Commons assembled in Parliament, upon the solemn day of monethly fast, March 26. 1645. / By Iohn Ward, minister of the gospel in Ipswich, and a member of the Assembly of Divines.","Ward, John, d. 1665.",Printed by I L for Christopher Meredith at the Crane in Pauls Church yard,London,"O.T.; Sermons.; Bible.; 17th century.; Sermons, English; Psalms LXXXII, 1",1645
A93958,R228093,S580,"Ad clerum. A sermon preached at a visitation holden at Grantham in the county and diocess of Lincolne, 8. Octob. 1641. By a late learned prelate. Now published by his own copy.","Sanderson, Robert, 1587-1663.",printed by H Hall printer to the university for Ric Davis,Oxford,"17th century; Matthew XV, 9; England; Sermons; Visitation sermons; Bible.; 17th century.; Sermons, English; Early works to 1800.; N.T.",1670
A90269,R203086,O758,"God's work in founding Zion, and his peoples duty thereupon. A sermon preached in the Abby Church at Westminster, at the opening of the Parliament Septemb. 17th 1656. / By John Owen: a servant of Jesus Christ in the work of the Gospell.","Owen, John, 1616-1683.",Printed by Leon Lichfield printer to the University for Tho Robinson,Oxford,"O.T.; Sermons.; Bible.; 17th century.; Isaiah XIV, 32; Sermons, English",1656
A91855,R201252,R1580,"A broken spirit, God's sacrifices. Or, The gratefulnesse of a broken spirit unto God. Represented in a sermon, before the right Honourable House of Peeres, in K. Henry the Seventh's chappell in the Abbey Westminster, upon Wednesday Decemb. 9. 1646. Being a day of publike humiliation for removing of the great judgment of rain and waters then upon the kingdome, &c. / By Fran. Roberts M. A. Minister of Christ, at Austins, London.","Roberts, Francis, 1609-1675.",Printed for George Calvert of Austins parish in the Old Change at the signe of the Golden Fleece,London,"O.T.; Psalms LI, 17; Fast-day sermons; Sermons.; Bible.; 17th century.; Sermons, English",1646
