A96106,R230810,W1137,"A plea for almes delivered in a sermon at the spital, before a solemn assembly of the city, on Tuesday in Easter week, April. 13. 1658. / By Thomas Watson Minister of Stephens Walbrook. Lond.","Watson, Thomas, d. 1686.",Printed for Thomas Parkhurst at the three Crowns over against the great Conduit at the lower end of Cheap side,London,"Sermons, English --  17th century.; Charity --  Sermons --  Early works to 1800.",1658,1
A97002,R203995,W385,"A sermon, preached in the Kings Chappell at VVhite-Hall, on Sunday last July 15. 1649. By Henry Walker cleric. author of the Perfect occurrences.","Walker, Henry, Ironmonger.",s n,London,"Sermons, English --  17th century.",1649,1
A93880,R204205,S5486,"The teachings of Christ in the soule. Opened in a sermon before the Right Honble House of Peers, in Covent-garden-Church, upon the solemne day of their monthly fast, March 29. 1648. / By Peter Sterry, M.A. sometimes fellow of Emanuel Colledge in Cambridge: and now preacher of the Gospel in London. Published by order of that House.","Sterry, Peter, 1613-1672.",Printed for R Dawlman and are to be sold at the Signe of the Crowne and Bible at Dowgate neer Canning street,London,"Jesus Christ --  Royal office --  Sermons --  Early works to 1800.; Bible. --  N.T. --  Matthew XXIII, 10 --  Sermons --  Early works to 1800.; Sermons, English --  17th century.; Fast-day sermons --  17th century.",1648,1
A90266,R203085,O742,"Eben-ezer a memoriall of the deliverance of Essex, county, and committee, being an exposition on the first ten verses of the third chapter of the prophesie of Habakkuk in two sermons. The first preached at Colchester before his Excellency on a day of thanksgiving for the surrender thereof. The other at Rumford unto the committee who were imprisoned by the enemy Sep. 28. a day set apart unto thanksgiving for their deliverance. / By John Ovven pastor of the church of God which is at Coggeshall.","Owen, John, 1616-1683.",Printed by W Wilson for the authour,London,"Bible. --  O.T. --  Habakkuk III, 1-10 --  Sermons --  Early works to 1800.; Sermons, English --  17th century.; Colchester (England) --  History --  Siege, 1648 --  Sermons --  Early works to 1800.",1648,1
A90291,R203108,O808,"The stedfastness of promises, and the sinfulness of staggering: opened in a sermon preached at Margarets in Westminster before the Parliament Febr. 28. 1649. Being a day set apart for solemn humiliation throughout the nation. By John Owen minister of the Gospel.","Owen, John, 1616-1683.",Printed by Peter Cole and are to be sold at his shop at the sign of the Printing Press in Cornhil neer the Royal Exchange,London,"Sermons, English --  17th century.; Fast-day sermons --  17th century.",1650,1
A90272,R203087,O766,"The labouring saints dismission to rest. A sermon / preached at the funeral of the Right Honourable Henry Ireton Lord Deputy of Ireland: in the Abbey Church at Westminster, the 6th. day of February 1651. By John Owen, minister of the Gospel. Licensed and entered according to order.","Owen, John, 1616-1683.",Printed by R and W Leybourn for Philemon Stephens at the Gilded Lion in Pauls Church yard,London,"Ireton, Henry, 1611-1651 --  Death and burial.; Sermons, English --  17th century.; Funeral sermons --  17th century.",1652,1
A96110,R204062,W1146,"The upright mans character and crown. Preached in a sermon at Pauls before the right Honourable the Lord Major, and the aldermen of the City of London, March 29. 1657. / By Thomas Watson minister of Stephens Walbrook London.","Watson, Thomas, d. 1686.",Printed for Ralph Smith at the Bible in Cornhill neer the Royal Exchange,London,"Christian life --  Sermons --  Early works to 1800.; Christian ethics --  Sermons --  Early works to 1800.; Sermons, English --  17th century.",1657,1
A94160,R203446,S628,"A sermon preached at Nevvport in the Isle of Wight, October 1648. In the time of the treaty. / By Robert Sanderson, D.D. chaplain to the late King, and Regius-Professor of Divinity in the University of Oxon.","Sanderson, Robert, 1587-1663.",printed by T M for Andrew Crook at the Green Dragon in S Pauls Church yard,London,"Bible. --  N.T. --  Galatians V, 22-23 --  Sermons.; Sermons, English --  17th century.",1653,1
A94736,,T1809,"Iehovah iireh: or, Gods providence in delivering the godly. Opened in two sermons in the citie of Bristoll, on the day of publike thanksgiving in that citie, March 14. 1642. For the deliverance of that citie from the invasion without, and the plot of malignants within the city, intended to have been acted the Tuesday night before. With a short narration of that bloody and abominable plot. Preached by Iohn Tombes, B.D. It is this two and twentieth day of Aprill, Anno Dom. 1643. ordered by the Committee of the House of Commons in Parliament concerning printing, that this booke intituled, Johovah Jireh, or Gods providence in delivering the godly, be printed. John White.","Tombes, John, 1603?-1676.; England and Wales. Parliament. House of Commons. aut",Printed by Rich Cotes for Michael Sparkes Senior,London,"Bristol (England) --  History --  Siege, 1643 --  Sermons --  Early works to 1800.; Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1643,1
A94360,R203830,T1221B,"A sermon concerning the sacrifice and satisfaction of Christ. preached before the Queen at Whitehall, April 9., 1693.","Tillotson, John, 1630-1694.",s n,London,"Jesus Christ --  Sermons.; Church of England --  Sermons.; Bible. --  N.T. --  Hebrews IX, 26 --  Sermons.; Sermons, English --  17th century.; Suffering of God.",1693,1
A90290,R203106,O806,"A sermon preached to the Parliament, Octob. 13. 1652. A day of solemne humiliation. Concerning the kingdome of Christ, and the power of the civile magistrate about the things of the worship of God.    / By John Owen.","Owen, John, 1616-1683.",Printed by Leonard Lichfield printer to the University for Thomas Robinson,Oxford,"Sermons, English --  17th century.; Fast-day sermons --  17th century.",1652,1
